name|set_name|set_code|mtg_id|card_type|power|toughness|loyalty|manacost|converted_manacost|artist|flavor|number|rarity|ruling|ability|watermark|
Duskmantle Guildmage|Gatecrash|GTC|366328|Creature — Human Wizard|2|2||{U}{B}|2|Slawomir Maniak||158|U|£1/24/2013 : The first ability considers each of your opponents. You don’t choose just one of them. £1/24/2013 : Each time the first ability resolves, a delayed triggered ability is created. Whenever a card is put into an opponent’s graveyard that turn, each of those abilities will trigger. For example, if you activate the first ability twice (and let those abilities resolve) and then activate the second ability targeting an opponent, that player will lose a total of 4 life. Each card put into that player’s graveyard will cause two abilities to trigger, each causing that player to lose 1 life. £1/24/2013 : The delayed triggered ability created won’t trigger if a token permanent is put into an opponent’s graveyard.|{1}{U}{B}: Whenever a card is put into an opponent's graveyard from anywhere this turn, that player loses 1 life.£{2}{U}{B}: Target player puts the top two cards of his or her library into his or her graveyard.|Dimir|
Duskmantle Seer|Gatecrash|GTC|366310|Creature — Vampire Wizard|4|4||{2}{U}{B}|4|Kev Walker||159|M|£1/24/2013 : The loss of life is simultaneous. If this causes both players to end up at 0 or less life, the game will be a draw. In a multiplayer game, players with 0 or less life will lose the game. £1/24/2013 : The cards put into hands this way are not “drawn.” For example, you couldn’t reveal a card with miracle put into your hand this way (but it also won’t count as the first card you’ve drawn this turn either).|Flying£At the beginning of your upkeep, each player reveals the top card of his or her library, loses life equal to that card's converted mana cost, then puts it into his or her hand.|Dimir|
Dutiful Thrull|Gatecrash|GTC|366457|Creature — Thrull|1|1||{W}|1|Daarken|#_"They are useful, but there's little satisfaction in supplication that throws itself under your heel."_#£#_—Jozica, Orzhov enforcer_#|11|C||{B}: Regenerate Dutiful Thrull.|Orzhov|
Dying Wish|Gatecrash|GTC|366382|Enchantment — Aura||||{1}{B}|2|Scott Chou|#_"I wish I could rewrite my every deed and kill you with my first breath instead of my last."_#|64|U|£1/24/2013 : Use the creature’s power the last time it was on the battlefield to determine how much life the target player loses and how much life you gain. £1/24/2013 : If another player gains control of either Dying Wish or the enchanted creature (but not both), Dying Wish will be enchanting an illegal permanent. The Aura will be put into its owner’s graveyard as a state-based action.|Enchant creature you control£When enchanted creature dies, target player loses X life and you gain X life, where X is its power.||
Elusive Krasis|Gatecrash|GTC|366279|Creature — Fish Mutant|0|4||{1}{G}{U}|3|Wesley Burt||160|U||Elusive Krasis is unblockable.£Evolve #_(Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)_#|Simic|
Ember Beast|Gatecrash|GTC|366306|Creature — Beast|3|4||{2}{R}|3|David Rapoza|#_The only livestock that will survive for long in the Smelting District, ember beasts serve many functions—none of them willingly._#|89|C|£1/24/2013 : Ember Beast can’t attack or block unless another creature is also assigned to attack or block at the same time. Notably, two Ember Beasts can attack or block together. £1/24/2013 : Once Ember Beast has been declared as an attacker or blocker, it doesn’t matter what happens to the other creature(s). £1/24/2013 : Other creatures assigned to attack alongside Ember Beast don’t have to attack the same player or planeswalker. Other creatures assigned to block alongside Ember Beast don’t have to block the same creature as Ember Beast.|Ember Beast can't attack or block alone.||
Enter the Infinite|Gatecrash|GTC|366411|Sorcery||||{8}{U}{U}{U}{U}|12|Terese Nielsen|#_"Don't just have an idea—have all of them."_#£#_—Niv-Mizzet_#|34|M|£1/24/2013 : You won’t have to discard any card during the cleanup step of the turn you cast Enter the Infinite. You will have to discard down to your maximum hand size during the cleanup step of your next turn. £1/24/2013 : If you are playing with the top card of your library revealed (due to Garruk’s Horde, for example), you’ll reveal each card before you draw it.|Draw cards equal to the number of cards in your library, then put a card from your hand on top of your library. You have no maximum hand size until your next turn.||
Executioner's Swing|Gatecrash|GTC|366444|Instant||||{W}{B}|2|Karl Kopinski|#_"The contract specified an appendage for a missed payment. Read the fine print: the head is an appendage."_#|161|C||Target creature that dealt damage this turn gets -5/-5 until end of turn.|Orzhov|
Experiment One|Gatecrash|GTC|366441|Creature — Human Ooze|1|1||{G}|1|Chase Stone||119|U|£1/24/2013 : If removing two +1/+1 counters from Experiment One causes the amount of damage already marked on Experiment One to be equal to or greater than its toughness, it will be put into its owner’s graveyard as a state-based action before the regeneration shield is created.|Evolve #_(Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)_#£Remove two +1/+1 counters from Experiment One: Regenerate Experiment One.|Simic|
Fathom Mage|Gatecrash|GTC|366399|Creature — Human Wizard|1|1||{2}{G}{U}|4|Ryan Pancoast||162|R|£1/24/2013 : Fathom Mage’s last ability will trigger whenever any +1/+1 counter is placed on it, not just ones due to the evolve ability. £1/24/2013 : If multiple +1/+1 counters are placed on Fathom Mage simultaneously, its last ability will trigger once for each of those counters. £1/24/2013 : If Fathom Mage enters the battlefield with a +1/+1 counter on it (perhaps due to Master Biomancer), its last ability will trigger once for each +1/+1 counter it entered the battlefield with.|Evolve #_(Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)_#£Whenever a +1/+1 counter is placed on Fathom Mage, you may draw a card.|Simic|
Firefist Striker|Gatecrash|GTC|366311|Creature — Human Soldier|2|1||{1}{R}|2|Tyler Jacobson|#_The flaming fist of Boros holds the promise of both protection and destruction in its grasp._#|90|U||Battalion — Whenever Firefist Striker and at least two other creatures attack, target creature can't block this turn.|Boros|
Firemane Avenger|Gatecrash|GTC|366341|Creature — Angel|3|3||{2}{R}{W}|4|Wayne Reynolds|#_Firemane Nevena led the victorious assault on the Barbu Rooftop rebels. Now the Gateless have marked her for death._#|163|R|£1/24/2013 : If the target creature or player is an illegal target when Firemane Avenger’s battalion ability tries to resolve, the ability will be countered and none of its effects will happen. You won’t gain life. £1/24/2013 : If Firemane Avenger’s battalion ability resolves but some or all of the damage is prevented, you’ll still gain 3 life.|Flying£Battalion — Whenever Firemane Avenger and at least two other creatures attack, Firemane Avenger deals 3 damage to target creature or player and you gain 3 life.|Boros|
Five-Alarm Fire|Gatecrash|GTC|366386|Enchantment||||{1}{R}{R}|3|Karl Kopinski||91|R|£1/24/2013 : Five-Alarm Fire’s first ability triggers once for each time a creature you control deals combat damage, even if it deals combat damage to more than one creature, planeswalker, or player. For example, an attacking creature with trample that deals combat damage to a blocking creature and the defending player will cause Five-Alarm Fire’s ability to trigger once. A creature with double strike, however, may cause Five-Alarm Fire’s ability to trigger twice during a single combat.|Whenever a creature you control deals combat damage, put a blaze counter on Five-Alarm Fire.£Remove five blaze counters from Five-Alarm Fire: Five-Alarm Fire deals 5 damage to target creature or player.||
Forced Adaptation|Gatecrash|GTC|366336|Enchantment — Aura||||{G}|1|Trevor Claxton|#_"We're planting the seeds of change. Sometimes, we plant them in people."_#£#_—Vorel of the Hull Clade_#|120|C|£1/24/2013 : The creature that gets the +1/+1 counter is the creature enchanted by Forced Adaptation when the ability resolves. £1/24/2013 : If Forced Adaptation’s ability triggers but Forced Adaptation isn’t on the battlefield when the ability resolves, put a +1/+1 counter on the creature it was enchanting when it left the battlefield.|Enchant creature£At the beginning of your upkeep, put a +1/+1 counter on enchanted creature.||
Fortress Cyclops|Gatecrash|GTC|366280|Creature — Cyclops Soldier|3|3||{3}{R}{W}|5|Maciej Kuciara|#_"They think they tamed him, but he will always be a wild titan, a force of nature."_#£#_—Nedja, Gruul shaman_#|164|U||Whenever Fortress Cyclops attacks, it gets +3/+0 until end of turn.£Whenever Fortress Cyclops blocks, it gets +0/+3 until end of turn.|Boros|
Foundry Champion|Gatecrash|GTC|366431|Creature — Elemental Soldier|4|4||{4}{R}{W}|6|Todd Lockwood||165|R|£1/24/2013 : The number of creatures you control is counted when Foundry Champion’s triggered ability resolves. Foundry Champion will count itself if it’s still on the battlefield under your control at that time.|When Foundry Champion enters the battlefield, it deals damage to target creature or player equal to the number of creatures you control.£{R}: Foundry Champion gets +1/+0 until end of turn.£{W}: Foundry Champion gets +0/+1 until end of turn.|Boros|
Foundry Street Denizen|Gatecrash|GTC|366472|Creature — Goblin Warrior|1|1||{R}|1|Raoul Vitale|#_After the Foundry Street riot, Arrester Hulbein tried to ban bludgeons. Which, inevitably, resulted in another riot._#|92|C||Whenever another red creature enters the battlefield under your control, Foundry Street Denizen gets +1/+0 until end of turn.||
Frenzied Tilling|Gatecrash|GTC|366295|Sorcery||||{3}{R}{G}|5|Noah Bradley|#_"Izzet contraptions pollute our lands. Burn them down, kill the makers, cleanse the earth."_#£#_—Nedja, Gruul shaman_#|166|U|£10/4/2004 : Because the "search" requires you to find a card with certain characteristics, you don't have to find the card if you don't want to. £1/24/2013 : If the target land is an illegal target when Frenzied Tilling tries to resolve, the spell will be countered and none of its effects will happen. You won’t search your library for a basic land card.|Destroy target land. Search your library for a basic land card and put that card onto the battlefield tapped. Then shuffle your library.|Gruul|
Frilled Oculus|Gatecrash|GTC|366298|Creature — Homunculus|1|3||{1}{U}|2|Marco Nelor|#_"Understand the Simic? That's about as easy as winning a staring contest with a homunculus."_#£#_—Dars Gostok, Firefist captain_#|35|C||{1}{G}: Frilled Oculus gets +2/+2 until end of turn. Activate this ability only once each turn.|Simic|
Frontline Medic|Gatecrash|GTC|366460|Creature — Human Cleric|3|3||{2}{W}|3|Willian Murai||12|R|£1/24/2013 : Creatures that come under your control after Frontline Medic’s battalion ability resolves will also be indestructible that turn.|Battalion — Whenever Frontline Medic and at least two other creatures attack, creatures you control are indestructible this turn.£Sacrifice Frontline Medic: Counter target spell with {X} in its mana cost unless its controller pays {3}.|Boros|
Furious Resistance|Gatecrash|GTC|366309|Instant||||{R}|1|Slawomir Maniak|#_"At least the Gateless rebels have ideals. Rakdos just mocks, defiles, and kills all we hold dear."_#£#_—Libuse, Boros sergeant_#|93|C||Target blocking creature gets +3/+0 and gains first strike until end of turn.||
Gateway Shade|Gatecrash|GTC|366438|Creature — Shade|1|1||{2}{B}|3|Ryan Yee|#_Tireless and merciless, shades are harnessed as spies by the Dimir._#|65|U|£1/24/2013 : You can’t tap an untapped Gate you control for mana and tap it to activate Gateway Shade’s ability at the same time. You must choose one or the other.|{B}: Gateway Shade gets +1/+1 until end of turn.£Tap an untapped Gate you control: Gateway Shade gets +2/+2 until end of turn.||
Ghor-Clan Rampager|Gatecrash|GTC|366287|Creature — Beast|4|4||{2}{R}{G}|4|Charles Urbach|#_"The Simic come from the cold slow depths. How could they understand the fire in a wild heart?"_#£#_—Kroshkar, Gruul shaman_#|167|U||Trample£Bloodrush — {R}{G}, Discard Ghor-Clan Rampager: Target attacking creature gets +4/+4 and gains trample until end of turn.|Gruul|
Giant Adephage|Gatecrash|GTC|366394|Creature — Insect|7|7||{5}{G}{G}|7|Christine Choi|#_"To a creature like that, we must seem like, well, bugs."_#£#_—Dars Gostok, Firefist captain_#|121|M|£1/24/2013 : As the token is created, it checks the printed values of the Giant Adephage it’s copying—or, if the Giant Adephage whose ability triggered was itself a token, the original characteristics of that token as stated by the effect that put it onto the battlefield—as well as any copy effects that have been applied to it. It won’t copy counters on the Giant Adephage, nor will it copy other effects that have changed Giant Adephage’s power, toughness, types, color, or so on. Normally, this means the token will simply be a Giant Adephage. But if any copy effects have affected that Giant Adephage, they’re taken into account.|Trample£Whenever Giant Adephage deals combat damage to a player, put a token onto the battlefield that's a copy of Giant Adephage.||
Gideon, Champion of Justice|Gatecrash|GTC|366345|Planeswalker — Gideon|||4|{2}{W}{W}|4|David Rapoza||13|M|£1/24/2013 : You put a loyalty counter on Gideon, Champion of Justice as part of the cost of activating the first ability. When that ability resolves, you count the number of creatures controlled by the target opponent and put that many additional loyalty counters on Gideon. £1/24/2013 : If the first ability is countered (perhaps because the target opponent is an illegal target when the ability tries to resolve), you won’t put any additional loyalty counters on Gideon, although the loyalty counter you put on him to activate the ability will remain. £1/24/2013 : If Gideon, Champion of Justice becomes a creature due to his second ability, that doesn’t count as having a creature enter the battlefield. Gideon was already on the battlefield; he only changed his types. Abilities that trigger whenever a creature enters the battlefield won’t trigger. £1/24/2013 : Gideon, Champion of Justice’s power and toughness are set to the number of loyalty counters on him when his second ability resolves. They won’t change later in the turn if the number of loyalty counters on him changes. £1/24/2013 : If Gideon, Champion of Justice becomes a creature the same turn he enters the battlefield, you can’t attack with him or use any of his {T} abilities (if he gains any). £1/24/2013 : If damage that can’t be prevented is dealt to Gideon, Champion of Justice after his second ability has resolved, that damage will have all applicable results: specifically, the damage is marked on Gideon (since he’s a creature) and that damage causes that many loyalty counters to be removed from him (since he’s a planeswalker). Even though he’s indestructible, if Gideon, Champion of Justice has no loyalty counters on him, he’s put into his owner’s graveyard as a state-based action. £1/24/2013 : Gideon, Champion of Justice’s second ability causes him to become a creature with the creature types Human and Soldier. He remains a planeswalker with the planeswalker type Gideon. (He also retains any other card types or subtypes he may have had.) Each subtype is correlated to the proper card type: Gideon is just a planeswalker type (not a creature type), and Human and Soldier are just creature types (not planeswalker types). £1/24/2013 : If you activate Gideon, Champion of Justice’s second ability and then a creature enters the battlefield as a copy of him, that copy will be just a planeswalker, not a creature. (The effect of Gideon’s second ability isn’t copied, just as the effect of a Giant Growth, for example, wouldn’t be copied.) Since both permanents will be planeswalkers with the planeswalker type Gideon, each one will be put into his owner’s graveyard as a state-based action due to the “planeswalker uniqueness rule.” £1/24/2013 : If you activate Gideon, Champion of Justice’s second ability and then a permanent that’s already on the battlefield becomes a copy of him, that copy will be just a planeswalker, not a creature. If the first Gideon, Champion of Justice is still on the battlefield by the time the copy effect happens, each of those permanents will be put into his owner’s graveyard as a state-based action due to the “planeswalker uniqueness rule.” If the first Gideon, Champion of Justice is gone by this time, the other permanent will be put into his owner’s graveyard as a state-based action for having no loyalty counters on him (unless, for some odd reason, he already had loyalty counters on him). £1/24/2013 : Say you activate Gideon, Champion of Justice’s second ability, and then an opponent gains control of him before combat. You may have any of your creatures attack Gideon, Champion of Justice (since he’s still a planeswalker). Then Gideon, Champion of Justice may block (since he’s a creature). He may block any eligible attacking creature, including one that’s attacking him! During combat, he behaves as an attacked planeswalker and/or a blocking creature, as appropriate. For example, he deals combat damage to any creatures he’s blocking, but he doesn’t deal combat damage to any unblocked creatures that are attacking him.|+1: Put a loyalty counter on Gideon, Champion of Justice for each creature target opponent controls.£0: Until end of turn, Gideon, Champion of Justice becomes an indestructible Human Soldier creature with power and toughness each equal to the number of lo||
Gift of Orzhova|Gatecrash|GTC|366339|Enchantment — Aura||||{1}{WB}{WB}|3|Johannes Voss|#_"Remember by whose gift you ascend."_#£#_—Milana, Orzhov prelate_#|219|U||Enchant creature£Enchanted creature gets +1/+1 and has flying and lifelink.|Orzhov|
Glaring Spotlight|Gatecrash|GTC|366334|Artifact||||{1}|1|Adam Paquette||229|R|£1/24/2013 : Creatures your opponents control don’t actually lose hexproof, although you will ignore hexproof for purposes of choosing targets of spells and abilities you control. £1/24/2013 : Creatures that come under your control after Glaring Spotlight’s last ability resolves won’t have hexproof but will be unblockable that turn.|Creatures your opponents control with hexproof can be the targets of spells and abilities you control as though they didn't have hexproof.£{3}, Sacrifice Glaring Spotlight: Creatures you control gain hexproof until end of turn and are unblockable this turn.||
Godless Shrine|Gatecrash|GTC|366302|Land — Plains Swamp|||||0|Cliff Childs|#_Judgment without hope._#|242|R|£10/1/2005 : Has basic land types, but isn't a basic land.  Things that affect basic lands don't affect it.  For example, you can't find it with Civic Wayfinder. £10/1/2005 : If another effect (such as Loxodon Gatekeeper's ability) tells you to put lands onto the battlefield tapped, it enters the battlefield tapped whether you pay 2 life or not. £10/1/2005 : If multiple permanents with "as enters the battlefield" effects are entering the battlefield at the same time, process those effects one at a time, then put the permanents onto the battlefield all at once. For example, if you're at 3 life and an effect puts two of these onto the battlefield, you can pay 2 life for only one of them, not both.|#_({T}: Add {W} or {B} to your mana pool.)_#£As Godless Shrine enters the battlefield, you may pay 2 life. If you don't, Godless Shrine enters the battlefield tapped.|Orzhov|
Greenside Watcher|Gatecrash|GTC|366440|Creature — Elf Druid|2|1||{1}{G}|2|Ryan Barger|#_"The Izzet may incite war, but my duty is here. I will not abandon the wild."_#|122|C|£1/24/2013 : Greenside Watcher’s ability is not a mana ability. It uses the stack and can be responded to.|{T}: Untap target Gate.||
Gridlock|Gatecrash|GTC|366330|Instant||||{X}{U}|1|Yeong-Hao Han|#_"One tiny peg pulled from a single wagon wheel, and an entire district grinds to a halt."_#£#_—Lazav_#|36|U||Tap X target nonland permanents.||
Grisly Spectacle|Gatecrash|GTC|366396|Instant||||{2}{B}{B}|4|Zoltan Boros|#_"Watch people flock to a murder scene. Then tell me we're not all a little sick in the head."_#£#_—Juri, proprietor of the Juri Revue_#|66|C|£1/24/2013 : Use the creature’s power the last time it was on the battlefield to determine how many cards its controller puts into his or her graveyard. £1/24/2013 : If the creature is an illegal target when Grisly Spectacle tries to resolve, it will be countered and none of its effects will happen. The creature’s controller won’t put any cards into his or her graveyard.|Destroy target nonartifact creature. Its controller puts a number of cards equal to that creature's power from the top of his or her library into his or her graveyard.||
Ground Assault|Gatecrash|GTC|366428|Sorcery||||{R}{G}|2|Karl Kopinski|#_"Taking down a dragon is easy. All you need is enough space to get in a good swing."_#£#_—Narbulg Nine Fingers_#|168|U||Ground Assault deals damage to target creature equal to the number of lands you control.|Gruul|
Gruul Charm|Gatecrash|GTC|366360|Instant||||{R}{G}|2|Zoltan Boros|#_"Not Gruul? Then die!"_#£#_—Borborygmos_#|169|U|£1/24/2013 : If you choose the first mode, no creature without flying will be able to block that turn, including creatures that lose flying and creatures without flying that enter the battlefield after Gruul Charm resolves. £1/24/2013 : If you choose the second mode, Gruul Charm’s effect will override any other control-changing effects on those permanents. £1/24/2013 : A token is owned by the player under whose control it entered the battlefield.|Choose one — Creatures without flying can't block this turn; or gain control of all permanents you own; or Gruul Charm deals 3 damage to each creature with flying.|Gruul|
Gruul Guildgate|Gatecrash|GTC|366253|Land — Gate|||||0|Randy Gallegos|#_Enter and leave the shackles of society behind._#|243|C||Gruul Guildgate enters the battlefield tapped.£{T}: Add {R} or {G} to your mana pool.|Gruul|
Gruul Keyrune|Gatecrash|GTC|366443|Artifact||||{3}|3|Daniel Ljunggren|#_As perilous and unpredictable as the wilds themselves._#|230|U||{T}: Add {R} or {G} to your mana pool.£{R}{G}: Gruul Keyrune becomes a 3/2 red and green Beast artifact creature with trample until end of turn.|Gruul|
Gruul Ragebeast|Gatecrash|GTC|366398|Creature — Beast|6|6||{5}{R}{G}|7|Dave Kendall|#_"If the other guilds want a war, they should know we've been ready the whole time."_#£#_—Ruric Thar, Ghor-Clan chieftain_#|170|R|£1/24/2013 : Gruul Ragebeast’s triggered ability isn’t optional. However, if no opponent controls a creature when a creature enters the battlefield under your control, the ability will be removed from the stack. £1/24/2013 : If one or both of the creatures that are supposed to fight are no longer on the battlefield when the ability resolves, the fight won’t happen. Neither creature will deal or be dealt damage. £1/24/2013 : If the target creature is an illegal target when the ability tries to resolve, it will be countered and none of its effects will happen. Neither creature will deal or be dealt damage.|Whenever Gruul Ragebeast or another creature enters the battlefield under your control, that creature fights target creature an opponent controls.|Gruul|
Guardian of the Gateless|Gatecrash|GTC|366260|Creature — Angel|3|3||{4}{W}|5|Wesley Burt||14|U|£1/24/2013 : Guardian of the Gateless’s last ability triggers only once when it’s declared as a blocker no matter how many creatures it’s blocking.|Flying£Guardian of the Gateless can block any number of creatures.£Whenever Guardian of the Gateless blocks, it gets +1/+1 until end of turn for each creature it's blocking.||
Guildscorn Ward|Gatecrash|GTC|366392|Enchantment — Aura||||{W}|1|Ryan Barger|#_"The Gateless have risen. The Ten shall fall."_#£#_—Ninth District graffiti_#|15|C|£1/24/2013 : The enchanted creature can’t be enchanted or equipped by multicolored Auras and Equipment, it can’t be blocked by multicolored creatures, it can’t be targeted by multicolored spells or abilities from multicolored sources, and all damage dealt to it by multicolored sources is prevented. £1/24/2013 : Hybrid spells and permanents in the Return to Ravnica block are multicolored, even if you cast them with one color of mana.|Enchant creature£Enchanted creature has protection from multicolored.||
Gutter Skulk|Gatecrash|GTC|366234|Creature — Zombie Rat|2|2||{1}{B}|2|Mark Winters|#_Upon finding his warehouse infested, Gaven didn't know whether to get an exterminator or an exorcist._#|67|C||||
Gyre Sage|Gatecrash|GTC|366289|Creature — Elf Druid|1|2||{1}{G}|2|Tyler Jacobson||123|R|£1/24/2013 : Gyre Sage’s last ability is a mana ability. It doesn’t use the stack and can’t be responded to.|Evolve #_(Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)_#£{T}: Add {G} to your mana pool for each +1/+1 counter on Gyre Sage.|Simic|
Hands of Binding|Gatecrash|GTC|366445|Sorcery||||{1}{U}|2|Raymond Swanland||37|C|£1/24/2013 : If the creature that was tapped by Hands of Binding is untapped during its controller’s next untap step (perhaps because a spell untapped it), Hands of Binding has no effect at that time. It won’t apply at some later time when the creature is tapped. £1/24/2013 : If a different player gains control of the creature that was tapped by Hands of Binding, Hands of Binding will stop that creature from untapping during its new controller’s next untap step.|Tap target creature an opponent controls. That creature doesn't untap during its controller's next untap step.£Cipher #_(Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)_#|Dimir|
Hellkite Tyrant|Gatecrash|GTC|366244|Creature — Dragon|6|5||{4}{R}{R}|6|Aleksi Briclot||94|M|£1/24/2013 : If you don’t control twenty or more artifacts at the beginning of your upkeep, Hellkite Tyrant’s last ability won’t trigger. If it does trigger, it will check again when it tries to resolve. If you don’t control twenty or more artifacts at that time, the ability will do nothing.|Flying, trample£Whenever Hellkite Tyrant deals combat damage to a player, gain control of all artifacts that player controls.£At the beginning of your upkeep, if you control twenty or more artifacts, you win the game.||
Hellraiser Goblin|Gatecrash|GTC|366342|Creature — Goblin Berserker|2|2||{2}{R}|3|Karl Kopinski|#_Don't let him lead the soldiers, but by all means let him lead the way._#|95|U|£1/24/2013 : Hellraiser Goblin’s ability also affects itself. If it enters the battlefield before combat, it will have to attack that combat if able. £1/24/2013 : If, during your declare attackers step, a creature you control is tapped or is affected by a spell or ability that says it can’t attack, then it doesn’t attack. If there’s a cost associated with having a creature attack, you aren’t forced to pay that cost, so it doesn’t have to attack in that case either. £1/24/2013 : Unlike many other effects that force a creature to attack if able, Hellraiser Goblin’s ability applies during each combat. If a turn has multiple combat phases, creatures you control must attack in each of them if able.|Creatures you control have haste and attack each combat if able.||
High Priest of Penance|Gatecrash|GTC|366266|Creature — Human Cleric|1|1||{W}{B}|2|Mark Zug|#_"All I require is faith, loyalty, obedience, trust, and complete and utter devotion."_#|171|R|£1/24/2013 : High Priest of Penance’s ability triggers once for each instance of damage dealt to it, not once for each 1 damage. The ability will trigger even if High Priest of Penance is dealt lethal damage.|Whenever High Priest of Penance is dealt damage, you may destroy target nonland permanent.|Orzhov|
Hindervines|Gatecrash|GTC|366459|Instant||||{2}{G}|3|Svetlin Velinov|#_"Woodlands and laws. Both grow faster than the Azorius's ability to manage them."_#£#_—Suniel the Woodwise_#|124|U|£1/24/2013 : Hindervines checks whether a creature has a +1/+1 counter on it at the moment it deals damage. It doesn’t matter whether a creature had a +1/+1 counter, or was even on the battlefield, when Hindervines resolved.|Prevent all combat damage that would be dealt this turn by creatures with no +1/+1 counters on them.||
Hold the Gates|Gatecrash|GTC|366276|Enchantment||||{2}{W}|3|Zoltan Boros|#_"We grew up on these streets. We know them better than any Boros grunt from Zelzo."_#|16|U|£1/24/2013 : Creatures you control will have vigilance even if you control no Gates.|Creatures you control get +0/+1 for each Gate you control and have vigilance.||
Holy Mantle|Gatecrash|GTC|366368|Enchantment — Aura||||{2}{W}{W}|4|Maciej Kuciara|#_"The guilds promise to provide safety. I prefer to make my own."_#£#_—Briska, Ninth District freemage_#|17|U|£1/24/2013 : The enchanted creature can’t be blocked, it can’t be targeted by abilities of creatures or creature cards (like, notably, the scavenge ability), and all damage dealt to it by creatures or creature cards is prevented.|Enchant creature£Enchanted creature gets +2/+2 and has protection from creatures.||
Homing Lightning|Gatecrash|GTC|366297|Instant||||{2}{R}{R}|4|Slawomir Maniak|#_"I see countless worlds. What makes them think I can't find them in just one?"_#£#_—Ral Zarek_#|96|U|£1/24/2013 : Homing Lightning has only one target. Other creatures with that name are not targeted. For example, a creature with hexproof will be dealt damage if it has the same name as the target creature. £1/24/2013 : The name of a creature token is the same as its creature types unless the token is a copy of another creature or the effect that created the token specifically gives it a different name. For example, a 1/1 Soldier creature token is named “Soldier.”|Homing Lightning deals 4 damage to target creature and each other creature with the same name as that creature.||
Horror of the Dim|Gatecrash|GTC|366397|Creature — Horror|3|4||{4}{B}|5|Jack Wang|#_"Lesser minds can scarcely imagine such a marriage of necromancy and mind magic."_#£#_—Strava, Dimir mage_#|68|C||{U}: Horror of the Dim gains hexproof until end of turn. #_(It can't be the target of spells or abilities your opponents control.)_#|Dimir|
Hydroform|Gatecrash|GTC|366423|Instant||||{G}{U}|2|Howard Lyon|#_"While the sea may be our home, the sky is our destiny."_#£#_—Prime Speaker Zegana_#|172|C|£1/24/2013 : If the target land hasn’t been under its controller’s control continuously since the beginning of his or her most recent turn, that land won’t be able to attack and its {T} abilities won’t be able to be activated. In most cases, that means it will no longer be able to be tapped for mana that turn. £1/24/2013 : Hydroform doesn’t affect the land’s name or any other types, subtypes, or supertypes (such as basic or legendary) the land may have. The land will also keep any abilities it had. £1/24/2013 : Effects that modify power and/or toughness but don’t set them to a specific value (like the one created by Giant Growth), power/toughness changes from counters, and effects that switch a creature’s power and toughness will continue to apply. This may happen if the land was already a creature when Hydroform resolved.|Target land becomes a 3/3 Elemental creature with flying until end of turn. It's still a land.|Simic|
Illness in the Ranks|Gatecrash|GTC|366354|Enchantment||||{B}|1|Nils Hamm|#_"Selesnya denied us tribute. Let's show them the error of their ways."_#£#_—Milana, Orzhov prelate_#|69|U|£1/24/2013 : If an effect creates a creature token that normally has toughness 1, it will enter the battlefield with toughness 0, be put into its owner’s graveyard as a state-based action, and then cease to exist. Any abilities that trigger when a creature enters the battlefield or dies will trigger.|Creature tokens get -1/-1.||
Illusionist's Bracers|Gatecrash|GTC|366426|Artifact — Equipment||||{2}|2|Svetlin Velinov|#_It's easy to believe you're a god when you're twice as powerful as everyone else._#|231|R||Whenever an ability of equipped creature is activated, if it isn't a mana ability, copy that ability. You may choose new targets for the copy.£Equip {3}||
Immortal Servitude|Gatecrash|GTC|366247|Sorcery||||{X}{WB}{WB}{WB}|3|Seb McKinnon|#_"The fine print of countless contracts has ensured we are never defenseless."_#£#_—Teysa Karlov, Grand Envoy of Orzhov_#|220|R|£1/24/2013 : If a creature card in a graveyard has X in its mana cost, that X is considered to be 0.|Return each creature card with converted mana cost X from your graveyard to the battlefield.|Orzhov|
Incursion Specialist|Gatecrash|GTC|366301|Creature — Human Wizard|1|3||{1}{U}|2|Svetlin Velinov|#_"Work for the Dimir again? That depends. Tell me more about this maze."_#|38|U|£1/24/2013 : Incursion Specialist’s ability can trigger only once each turn. The ability will resolve before the second spell resolves. It doesn’t matter if the first spell you cast that turn has resolved, was countered, or is still on the stack.|Whenever you cast your second spell each turn, Incursion Specialist gets +2/+0 until end of turn and is unblockable this turn.||
Ivy Lane Denizen|Gatecrash|GTC|366317|Creature — Elf Warrior|2|3||{3}{G}|4|Winona Nelson|#_"Skyknight gear? Well, I have drake-skin gauntlets, supple and fireproof. Or a ceratok chestplate that'll stop a crossbow bolt."_#|125|C|£1/24/2013 : The green creature that entered the battlefield can be chosen as the target of Ivy Lane Denizen’s ability. £1/24/2013 : Ivy Lane Denizen can be chosen as the target of its own ability.|Whenever another green creature enters the battlefield under your control, put a +1/+1 counter on target creature.||
